,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
count,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0
mean,0.0,0.0,542.7663881748072,543.2113110539844,551.4867609254499,534.6090188517567,542.6539631533848,542.6470437017995,543.0695115681234,3286467.7150814054,153342236215072.84,53111.06898029135,1223052.3316195372,0.43711499571550994
std,0.0,0.0,190.04011547845363,190.15299463309333,192.25902370794864,188.37486393485352,190.11444429961273,190.0708865042954,190.3900498698167,4396567.609394214,182965650432426.97,45384.878315793096,1385290.6649244262,0.1380915980866696
min,0.0,0.0,257.2,252.6,268.1,238.55,256.55,257.2,259.51,9549.0,635931845000.0,427.0,2903.0,0.084
25%,0.0,0.0,372.75,374.0,379.82500000000005,367.0625,373.4,372.5125,372.77,936797.5,49036928268750.0,23713.5,421420.25,0.340175
50%,0.0,0.0,496.975,495.825,504.95,490.875,496.5,496.7,497.29,1804806.0,111787564717500.0,42970.5,827050.0,0.444
75%,0.0,0.0,673.9375,674.975,684.2249999999999,665.4375,674.0,673.9375,673.6274999999999,4077492.25,186759629877500.0,67872.0,1573261.0,0.535
max,0.0,0.0,1133.3,1132.2,1156.0,1120.1,1132.1,1133.3,1137.04,55720377.0,2302230939420000.0,511790.0,23488962.0,0.8423
