,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
count,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0,2334.0
mean,0.0,0.0,2407.057005141388,2409.4935732647814,2438.063474721508,2379.0452227934875,2407.5521850899745,2407.7178449014564,2408.5956555269922,426537.65766923735,103420572690062.12,26227.571550985434,198833.4438731791,0.49054177377892033
std,0.0,0.0,520.2532996002515,521.5100334044726,524.4842055899264,517.2555014022752,519.8687978043112,519.8824994205055,520.8863011636693,357958.545590804,97968231475270.75,17173.222580195026,169185.21454962675,0.16330223426469334
min,0.0,0.0,1311.8,1320.0,1329.0,1295.0,1322.0,1311.8,1313.6,6324.0,1253460430000.0,451.0,1290.0,0.0757
25%,0.0,0.0,1951.7625000000003,1959.25,1987.8874999999998,1933.0125,1954.125,1953.3124999999998,1957.3075,232070.5,51982486875000.0,15730.0,103214.25,0.37197499999999994
50%,0.0,0.0,2489.275,2491.225,2525.6,2460.425,2488.6499999999996,2490.65,2493.5249999999996,327593.0,77708422650000.0,22102.5,158084.0,0.50455
75%,0.0,0.0,2839.575,2843.9374999999995,2873.3125,2814.7000000000003,2837.7875000000004,2840.1250000000005,2842.92,502681.25,117284628786250.0,31420.0,250494.0,0.61075
max,0.0,0.0,3412.95,3419.0,3468.35,3341.1,3417.65,3412.95,3375.95,4976986.0,1465667420630000.0,209645.0,4154492.0,0.9659
